
> ppthub@0.1.0 generate-embeddings /Users/ameureka/Desktop/mksaas-ai-ppt-blog
> tsx scripts/generate-embeddings.ts

[Embeddings] ✓ ppt_12c433eb_3886: 蓝色高大写字楼背景的“越群山见苍穹”年中工作总结PPT模板...
[Embeddings] ✓ ppt_506a6159_d504: 学术答辩...
[Embeddings] ✓ ppt_1d69d475_2512: 蓝色商务...
[Embeddings] ✓ ppt_40237aa3_d1b2: 中国古风...
[Embeddings] ✓ ppt_7a204424_c5b5: 年终总结...
[Embeddings] ✓ ppt_eb8bee85_b384: 个人简历...
[Embeddings] ✓ ppt_ddabf5f3_5aac: 蓝色商务...
[Embeddings] ✓ ppt_e8e05071_e78f: 部门年终总结...
[Embeddings] ✓ ppt_b785636c_5afa: 商务汇报...
[Embeddings] ✓ ppt_f97ca154_6d3e: 三好学生竞选...
[Embeddings] ✓ ppt_3a22a1de_84ec: 年终总结...
[Embeddings] ✓ ppt_442d684b_219b: 商务汇报...
[Embeddings] ✓ ppt_deb399d0_d748: 年终总结...
[Embeddings] ✓ ppt_64448322_be8e: 年终总结...
[Embeddings] ✓ ppt_c03f62b6_aef4: 校园活动...
[Embeddings] ✓ ppt_bcc40eed_1838: 蓝色商务...
[Embeddings] ✓ ppt_49eacfd1_9444: 空白演示...
[Embeddings] ✓ ppt_b77aa425_d3a1: 年终总结...
[Embeddings] ✓ ppt_46729dc2_f58d: 新学期...
[Embeddings] ✓ ppt_19a18972_5d51: 工作汇报...
[Embeddings] ✓ ppt_92e36ac0_08ab: 蓝色商务...
[Embeddings] ✓ ppt_5ffa18c2_c1b3: 智慧养老...
[Embeddings] ✓ ppt_4c82d29c_51dd: 智慧养老...
[Embeddings] ✓ ppt_6ee0f2b0_cf6a: 中国古风...
[Embeddings] ✓ ppt_ead8c0f3_0b6d: 年终总结...
[Embeddings] ✓ ppt_c21218ef_412e: 蓝色商务...
[Embeddings] ✓ ppt_477145ec_0142: 新学期...
[Embeddings] ✓ ppt_8e7a815a_ba81: 九一八事变...
[Embeddings] ✓ ppt_ccf1c042_ec91: 商务汇报...
[Embeddings] ✓ ppt_a87b4fc8_2b36: 幼儿园讲故事...
[Embeddings] ✓ ppt_1afbfbaf_4566: 励志商务风...
[Embeddings] ✓ ppt_52fe2403_7395: 卡通可爱...
[Embeddings] ✓ ppt_acaedc43_adbc: 年终总结...
[Embeddings] ✓ ppt_996d6fbf_83a1: 小学毕业...
[Embeddings] ✓ ppt_8ba89ff0_0c01: 学术汇报...
[Embeddings] ✓ ppt_b541c549_dbc6: PowerPoint 演示文稿...
[Embeddings] ✓ ppt_05c77caf_170d: 开学季...
[Embeddings] ✓ ppt_9e3cdcc3_9a69: 人事述职报告...
[Embeddings] ✓ ppt_18d27f5e_c445: 弥散风...
[Embeddings] ✓ ppt_99a448a8_a7ff: 开学典礼...
[Embedding] API error: 403
[Embeddings] ✗ ppt_dd9d4ae7_4635: 企业介绍...
[Embedding] API error: 403
[Embeddings] ✗ ppt_2ca5d44a_a1b5: 学术汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_5630c177_a5f2: 年终总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_6bab9da5_9357: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_4a0b79c3_f3ac: 励志商务风...
[Embedding] API error: 403
[Embeddings] ✗ ppt_ee9b6bbc_dd23: 工作总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_ef9bfde4_de4f: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_3e904272_23d7: 活动数据分析...
[Embedding] API error: 403
[Embeddings] ✗ ppt_59808717_da1c: 小学毕业...
[Embedding] API error: 403
[Embeddings] ✗ ppt_06204277_30c0: 企业介绍...
[Embedding] API error: 403
[Embeddings] ✗ ppt_db4de599_7b63: 中国风...
[Embedding] API error: 403
[Embeddings] ✗ ppt_f6bcdd05_1f2c: 九一八事变...
[Embedding] API error: 403
[Embeddings] ✗ ppt_37278a27_2105: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_63766576_bf16: 企业介绍...
[Embedding] API error: 403
[Embeddings] ✗ ppt_02d197a5_6032: 弥散风...
[Embedding] API error: 403
[Embeddings] ✗ ppt_517d2092_8cad: PowerPoint 演示文稿...
[Embedding] API error: 403
[Embeddings] ✗ ppt_d707d41f_5591: 樱花季节...
[Embedding] API error: 403
[Embeddings] ✗ ppt_fd5993ad_e4d9: 励志商务风...
[Embedding] API error: 403
[Embeddings] ✗ ppt_4327f04c_d673: 开学...
[Embedding] API error: 403
[Embeddings] ✗ ppt_3b9fbd12_4c95: 开学典礼...
[Embedding] API error: 403
[Embeddings] ✗ ppt_4ee7537c_3851: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_098ed681_9c95: 校园活动...
[Embedding] API error: 403
[Embeddings] ✗ ppt_2cf3bdc8_4f48: 转正述职...
[Embedding] API error: 403
[Embeddings] ✗ ppt_af4ac722_38b7: 情绪管理...
[Embedding] API error: 403
[Embeddings] ✗ ppt_2c02f482_cb1a: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_e345883e_ba73: 九一八事变...
[Embedding] API error: 403
[Embeddings] ✗ ppt_2c7061ec_bcf6: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_d5859cad_c065: 孟菲斯...
[Embedding] API error: 403
[Embeddings] ✗ ppt_d1e6c0f1_96aa: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_81e3e2b1_682c: 新学期...
[Embedding] API error: 403
[Embeddings] ✗ ppt_69b5e8e3_c552: 新生军训...
[Embedding] API error: 403
[Embeddings] ✗ ppt_6a92380d_9779: 年终总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_2d2252d5_8fa8: 小学毕业...
[Embedding] API error: 403
[Embeddings] ✗ ppt_8656d585_19b8: 年终复盘总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_a3efb539_23cb: 开学典礼...
[Embedding] API error: 403
[Embeddings] ✗ ppt_6b0cdd03_46dc: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_72ebb0d8_f4a6: 多元创意...
[Embedding] API error: 403
[Embeddings] ✗ ppt_c0b81537_122c: 开学...
[Embedding] API error: 403
[Embeddings] ✗ ppt_789a384a_7ce4: 学术汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_5a195074_ee85: 智慧养老...
[Embedding] API error: 403
[Embeddings] ✗ ppt_9acbbec0_a55e: 中国古风...
[Embedding] API error: 403
[Embeddings] ✗ ppt_596c92b7_90d7: 蓝色商务...
[Embedding] API error: 403
[Embeddings] ✗ ppt_0f3f827e_5369: 年终总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_7b611c28_88fc: 蓝色商务...
[Embedding] API error: 403
[Embeddings] ✗ ppt_3c931c80_35e2: 蓝色商务...
[Embedding] API error: 403
[Embeddings] ✗ ppt_a23b3780_6b06: 年终总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_d5d911fd_4a8f: 年终总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_410fda76_9b77: 商务汇报...
[Embedding] API error: 403
[Embeddings] ✗ ppt_0313d2ba_8af2: 校园活动...
[Embedding] API error: 403
[Embeddings] ✗ ppt_2284e3a6_b648: 新学期...
[Embedding] API error: 403
[Embeddings] ✗ ppt_a56de5ef_f672: 年终总结...
[Embedding] API error: 403
[Embeddings] ✗ ppt_1455604a_07b2: 学术答辩...
[Embedding] API error: 403
[Embeddings] ✗ ppt_e2f48f9a_bd84: 蓝色简约曲线背景的商务工作总结PPT模板...
[Embedding] API error: 403
[Embeddings] ✗ ppt_541a3141_f354: 蓝色商务...
[Embedding] API error: 403
[Embeddings] ✗ ppt_6c609c26_c2e1: 蓝色商务...
[Embedding] API error: 403
[Embeddings] ✗ ppt_c034332b_64ac: 商务汇报...
[Embedding] API error: 403
